"Timestamp","Which one of the following represents your age?","Occupation","Which one of the following best represents your annual personal income?","Are you currently covered by an insurance policy?","If your answer to the above is 'Yes', what is the type of policy you have purchased? If your answer to the above is 'No', select NIL.","If you are currently covered by an insurance, who purchased the insurance policy for you? Select 'NIL' if you are not covered under any insurance policy.","Would you be interested in getting an/another insurance policy?","Why are you interested in purchasing an insurance policy?","What do you look out for when buying an insurance?","What is stopping you from buying an insurance policy?","What are some areas of coverage you hope to have in your future insurance policy? You can be creative :D","Describe a situation in which having an insurance would have helped you.","Have you heard of Prudential?","Do you currently have a policy under Prudential?","If you chose ""Yes"" above, select the type of policies that you have purchased under Prudential. Else, select ""NIL""","If you have bought an insurance from Prudential before, would you buy a policy from them again? Select 'NIL' if you have never bought an insurance from Prudential.","What do you think of their policies and any improvements/suggestions you hope to see from Prudential?"
"2021/02/09 10:30:10 pm GMT+8","22 to 36 years old","Part Time student","$25,000 and below","No","NIL","NIL","No","","","Lack of information;Unnecessary","Housing/Property","mrt break down ","Yes","Not sure","NIL","NIL","Micro insurance"
"2021/02/09 10:30:47 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance","Parents","No","","","Family member(s) have already bought it for you","Accident;Pandemic;Fraud","in times of a pandemic","Yes","Not sure","Not sure","NIL","-"
"2021/02/09 10:32:49 pm GMT+8","22 to 36 years old","student","No income","No","NIL","NIL","No","","","Unnecessary","Accident","-","Yes","No","NIL","NIL","-"
"2021/02/09 10:34:58 pm GMT+8","22 to 36 years old","Student","No income","Yes","Health Insurance;Travel Insurance;Investment Insurance","Parents","Yes","For investment purposes;For future precautions","Affordability;Coverage;Convenience (eg. easy to buy, easy to claim)","","Death;Accident;Fraud;Disability;Housing/Property","Lost my passport and wallet overseas, travel insurance would have helped loads","Yes","No","NIL","NIL","Less pushy"
"2021/02/09 10:36:15 pm GMT+8","21 years old and under","Student","No income","Yes","Health Insurance;Travel Insurance;Investment Insurance","Parents","No","","","Financial difficulties;Lack of information;Family member(s) have already bought it for you","Sickness;Death;Travel","I fell and broke my arm and medical insurance would have helped lots","Yes","No","NIL","NIL","Not sure"
"2021/02/09 10:37:55 pm GMT+8","22 to 36 years old","accounting student","$25,000 and below","Yes","Life Insurance;Health Insurance","Parents","Yes","For future precautions","Affordability;Coverage","","Sickness","innvestment insurance","Yes","Yes","Life Insurance;Savings Insurance","No","Nil"
"2021/02/09 10:37:57 pm GMT+8","22 to 36 years old","it student","No income","No","NIL","NIL","No","","","Family member(s) have already bought it for you","Pandemic","data breach insurance","Yes","Not sure","NIL","NIL","more engaging"
"2021/02/09 10:37:59 pm GMT+8","22 to 36 years old","law student","$25,000 and below","Yes","Life Insurance","Parents","Yes","Peer/family pressure","Coverage;Customer Service;Clarity of policy","","Housing/Property","public transport insurance","Yes","Yes","Life Insurance;Health Insurance","Yes","Nil"
"2021/02/09 10:38:00 pm GMT+8","22 to 36 years old","is student","No income","No","NIL","NIL","No","","","Lack of information","Death","bite sized insurance","Yes","Not sure","NIL","NIL","more interaction with customer"
"2021/02/09 10:38:02 pm GMT+8","22 to 36 years old","student","No income","No","NIL","NIL","No","","","Financial difficulties","Accident","insurance to cover fraud","Yes","Not sure","NIL","NIL","Nil"
"2021/02/09 10:40:26 pm GMT+8","22 to 36 years old","Salesperson","$25,001 to $50,000","Yes","Motor/Vehicle Insurance;Health Insurance;Travel Insurance","Myself;Parents","Yes","For future precautions","Affordability;Coverage;Multi policy discounts;Convenience (eg. easy to buy, easy to claim)","","Sickness;Death;Pandemic;Housing/Property","Got into a car accident recently, and luckily I was covered by my insurance","Yes","No","NIL","NIL","Be more professional"
"2021/02/09 11:06:35 pm GMT+8","21 years old and under","Student","No income","No","NIL","NIL","Yes","For investment purposes;For future precautions","Affordability;Coverage;Multi policy discounts;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","Caught in a big accident that cripples me","Yes","No","NIL","NIL","Not sure"
"2021/02/09 11:09:42 pm GMT+8","22 to 36 years old","Accountant","$25,001 to $50,000","Yes","Life Insurance;Health Insurance;Savings Insurance","Parents","No","","","Financial difficulties","Sickness;Death;Travel;Pandemic;Fraud;Disability;Housing/Property","If an accident crippled me, insurance would help me pay my bills","Yes","No","NIL","NIL","I think they're good but they need to be more informative "
"2021/02/10 9:03:02 am GMT+8","22 to 36 years old","Student","$25,000 and below","Yes","Life Insurance;Motor/Vehicle Insurance;Health Insurance;Travel Insurance;Investment Insurance;Savings Insurance","Parents","Yes","For investment purposes;For future precautions;Peer/family pressure","Coverage;Customer Service;Convenience (eg. easy to buy, easy to claim);Clarity of policy","","Sickness;Death;Accident;Travel;Pandemic;Fraud;Disability;Housing/Property","I lost my Gucci wallet while overseas along with my Hermes handbag, without travel insurance, my parents would have killed me","Yes","No","NIL","NIL","Needs to appeal to the wealthier customers"
"2021/02/10 10:21:12 am GMT+8","22 to 36 years old","Student","No income","Yes","Life Insurance;Health Insurance;Travel Insurance","Myself","No","","","Financial difficulties;Lack of information","Death;Pandemic;Fraud;Housing/Property","Getting into a car accident would help cover my costs","Yes","Not sure","NIL","NIL","I think they're quite good, but I need more information"
"2021/02/10 10:47:23 am GMT+8","22 to 36 years old","student","No income","Yes","Life Insurance","Parents","No","","","Family member(s) have already bought it for you","Pandemic;Wealth","Pandemic like COVID-19, can cover for my hospitalization and swab test fees","Yes","No","NIL","No","More targeted in terms of customer segments and not just ordinary policies that can be offered to everyone"
